Year	Category	Type	Code	Name	Substance	Unit	Factor	Margin	FactorWithMargin	ReliabilityScore	TemporalCorrelation	GeographicalCorrelation	TechnologicalCorrelation	DataCollection
2014	Summary	Commodity	313TT	Textiles and textile-dervied products (except clothes)	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	4	2	1	4	1	
2014	Summary	Commodity	313TT	Textiles and textile-dervied products (except clothes)	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.003	0	0.003	3	2	1	3	1	
2014	Summary	Commodity	315AL	Clothing and leather	Carbon dioxide	kg/2018 USD, purchaser price	0.059	0.029	0.088	3	2	1	3	1	
2014	Summary	Commodity	315AL	Clothing and leather	Methane	kg/2018 USD, purchaser price	0	0	0.001	4	2	1	1	1	
2014	Summary	Commodity	315AL	Clothing and leather	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	4	2	1	4	1	
2014	Summary	Commodity	315AL	Clothing and leather	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.001	0	0.001	3	2	1	4	1	
2014	Summary	Commodity	321	Wood products (e.g. plywood, veneer)	Carbon dioxide	kg/2018 USD, purchaser price	0.232	0.028	0.259	3	2	1	3	1	
2014	Summary	Commodity	321	Wood products (e.g. plywood, veneer)	Methane	kg/2018 USD, purchaser price	0.001	0	0.001	4	2	1	1	1	
2014	Summary	Commodity	321	Wood products (e.g. plywood, veneer)	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	4	2	1	3	1	
2014	Summary	Commodity	321	Wood products (e.g. plywood, veneer)	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.007	0	0.007	4	2	1	4	1	
2014	Summary	Commodity	322	Paper products and paper production facilities	Carbon dioxide	kg/2018 USD, purchaser price	0.481	0.026	0.507	3	2	1	4	1	
2014	Summary	Commodity	322	Paper products and paper production facilities	Methane	kg/2018 USD, purchaser price	0.001	0	0.002	4	2	1	1	1	
2014	Summary	Commodity	322	Paper products and paper production facilities	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	3	2	1	3	1	
2014	Summary	Commodity	322	Paper products and paper production facilities	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.004	0	0.004	3	2	1	3	1	
2014	Summary	Commodity	323	Print media and printing support	Carbon dioxide	kg/2018 USD, purchaser price	0.251	0.023	0.273	3	2	1	4	1	
2014	Summary	Commodity	323	Print media and printing support	Methane	kg/2018 USD, purchaser price	0.001	0	0.001	4	2	1	1	1	
2014	Summary	Commodity	323	Print media and printing support	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	3	2	1	3	1	
2014	Summary	Commodity	323	Print media and printing support	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.003	0	0.003	3	2	1	3	1	
2014	Summary	Commodity	324	Petroleum fuels, asphalt, and other petroleum and coal products	Carbon dioxide	kg/2018 USD, purchaser price	0.563	0.02	0.583	4	2	1	3	1	
2014	Summary	Commodity	324	Petroleum fuels, asphalt, and other petroleum and coal products	Methane	kg/2018 USD, purchaser price	0.013	0	0.013	4	2	1	1	1	
2014	Summary	Commodity	324	Petroleum fuels, asphalt, and other petroleum and coal products	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	3	2	1	3	1	
2014	Summary	Commodity	324	Petroleum fuels, asphalt, and other petroleum and coal products	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.003	0	0.004	3	2	1	4	1	
2014	Summary	Commodity	325	Agricultural, pharamceutical, industrial, and commercial chemicals	Carbon dioxide	kg/2018 USD, purchaser price	0.453	0.018	0.471	4	2	1	4	1	
2014	Summary	Commodity	325	Agricultural, pharamceutical, industrial, and commercial chemicals	Methane	kg/2018 USD, purchaser price	0.002	0	0.002	4	2	1	1	1	
2014	Summary	Commodity	325	Agricultural, pharamceutical, industrial, and commercial chemicals	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	3	2	1	2	1	
2014	Summary	Commodity	325	Agricultural, pharamceutical, industrial, and commercial chemicals	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.008	0	0.009	2	2	1	2	1	
2014	Summary	Commodity	326	Plastics and rubber products	Carbon dioxide	kg/2018 USD, purchaser price	0.312	0.014	0.326	3	2	1	3	1	
2014	Summary	Commodity	326	Plastics and rubber products	Methane	kg/2018 USD, purchaser price	0.001	0	0.001	4	2	1	1	1	
2014	Summary	Commodity	326	Plastics and rubber products	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	3	2	1	2	1	
2014	Summary	Commodity	326	Plastics and rubber products	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.008	0	0.008	3	2	1	4	1	
2014	Summary	Commodity	327	Clay, glass, cement, concrete, and other nonmetallic mineral products	Carbon dioxide	kg/2018 USD, purchaser price	0.75	0.049	0.799	3	2	1	2	1	
2014	Summary	Commodity	327	Clay, glass, cement, concrete, and other nonmetallic mineral products	Methane	kg/2018 USD, purchaser price	0.002	0	0.003	4	2	1	1	1	
2014	Summary	Commodity	327	Clay, glass, cement, concrete, and other nonmetallic mineral products	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	3	2	1	3	1	
2014	Summary	Commodity	327	Clay, glass, cement, concrete, and other nonmetallic mineral products	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.002	0.001	0.003	3	2	1	3	1	
2014	Summary	Commodity	331	Primary and secondary ferrous and nonferrous metals	Carbon dioxide	kg/2018 USD, purchaser price	0.707	0.017	0.724	2	2	1	2	1	
2014	Summary	Commodity	331	Primary and secondary ferrous and nonferrous metals	Methane	kg/2018 USD, purchaser price	0.003	0	0.003	4	2	1	1	1	
2014	Summary	Commodity	331	Primary and secondary ferrous and nonferrous metals	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	3	2	1	3	1	
2014	Summary	Commodity	331	Primary and secondary ferrous and nonferrous metals	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.021	0	0.021	3	2	1	1	1	
2014	Summary	Commodity	332	Fabricated metal products (e.g. architectural and structural metal products)	Carbon dioxide	kg/2018 USD, purchaser price	0.277	0.014	0.291	3	2	1	3	1	
2014	Summary	Commodity	332	Fabricated metal products (e.g. architectural and structural metal products)	Methane	kg/2018 USD, purchaser price	0.001	0	0.001	4	2	1	1	1	
2014	Summary	Commodity	332	Fabricated metal products (e.g. architectural and structural metal products)	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	3	2	1	3	1	
2014	Summary	Commodity	332	Fabricated metal products (e.g. architectural and structural metal products)	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.007	0	0.007	3	2	1	2	1	
2014	Summary	Commodity	333	Machinery (except computers)	Carbon dioxide	kg/2018 USD, purchaser price	0.184	0.014	0.198	3	2	1	3	1	
2014	Summary	Commodity	333	Machinery (except computers)	Methane	kg/2018 USD, purchaser price	0.001	0	0.001	4	2	1	1	1	
2014	Summary	Commodity	333	Machinery (except computers)	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	3	2	1	3	1	
2014	Summary	Commodity	333	Machinery (except computers)	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.024	0	0.024	4	2	1	5	1	
2014	Summary	Commodity	334	Computers and relevant parts, conductors, measuring devices, communication devices	Carbon dioxide	kg/2018 USD, purchaser price	0.064	0.012	0.076	3	2	1	3	1	
2014	Summary	Commodity	334	Computers and relevant parts, conductors, measuring devices, communication devices	Methane	kg/2018 USD, purchaser price	0	0	0	4	2	1	1	1	
2014	Summary	Commodity	334	Computers and relevant parts, conductors, measuring devices, communication devices	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	3	2	1	2	1	
2014	Summary	Commodity	334	Computers and relevant parts, conductors, measuring devices, communication devices	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.012	0	0.012	2	2	1	1	1	
2014	Summary	Commodity	335	Lights and light fixtures, switch boards, transformers, and home appliances	Carbon dioxide	kg/2018 USD, purchaser price	0.189	0.019	0.208	3	2	1	3	1	
2014	Summary	Commodity	335	Lights and light fixtures, switch boards, transformers, and home appliances	Methane	kg/2018 USD, purchaser price	0.001	0	0.001	4	2	1	1	1	
2014	Summary	Commodity	335	Lights and light fixtures, switch boards, transformers, and home appliances	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	3	2	1	3	1	
2014	Summary	Commodity	335	Lights and light fixtures, switch boards, transformers, and home appliances	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.007	0	0.007	3	2	1	3	1	
2014	Summary	Commodity	3361MV	On-road vehicles (excluding motorcycles) and accompanying parts	Carbon dioxide	kg/2018 USD, purchaser price	0.237	0.012	0.249	3	2	1	3	1	
2014	Summary	Commodity	3361MV	On-road vehicles (excluding motorcycles) and accompanying parts	Methane	kg/2018 USD, purchaser price	0.001	0	0.001	4	2	1	1	1	
2014	Summary	Commodity	3361MV	On-road vehicles (excluding motorcycles) and accompanying parts	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	3	2	1	3	1	
2014	Summary	Commodity	3361MV	On-road vehicles (excluding motorcycles) and accompanying parts	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.015	0	0.015	4	2	1	4	1	
2014	Summary	Commodity	3364OT	Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts	Carbon dioxide	kg/2018 USD, purchaser price	0.14	0.008	0.148	3	2	1	3	1	
2014	Summary	Commodity	3364OT	Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts	Methane	kg/2018 USD, purchaser price	0.001	0	0.001	4	2	1	1	1	
2014	Summary	Commodity	3364OT	Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	3	2	1	3	1	
2014	Summary	Commodity	3364OT	Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.004	0	0.005	3	2	1	3	1	
2014	Summary	Commodity	337	Furniture and shelving	Carbon dioxide	kg/2018 USD, purchaser price	0.136	0.046	0.182	3	2	1	3	1	
2014	Summary	Commodity	337	Furniture and shelving	Methane	kg/2018 USD, purchaser price	0.001	0	0.001	4	2	1	1	1	
2014	Summary	Commodity	337	Furniture and shelving	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	3	2	1	3	1	
2014	Summary	Commodity	337	Furniture and shelving	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.009	0.001	0.01	4	2	1	4	1	
2014	Summary	Commodity	339	Medical supplies, entertainment and sporting goods, fashion goods, advertising products	Carbon dioxide	kg/2018 USD, purchaser price	0.105	0.029	0.134	3	2	1	3	1	
2014	Summary	Commodity	339	Medical supplies, entertainment and sporting goods, fashion goods, advertising products	Methane	kg/2018 USD, purchaser price	0	0	0.001	4	2	1	1	1	
2014	Summary	Commodity	339	Medical supplies, entertainment and sporting goods, fashion goods, advertising products	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	3	2	1	3	1	
2014	Summary	Commodity	339	Medical supplies, entertainment and sporting goods, fashion goods, advertising products	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.003	0	0.003	3	2	1	3	1	
2014	Summary	Commodity	42	Wholesale trade	Carbon dioxide	kg/2018 USD, purchaser price	0.133	0	0.133	3	2	1	3	1	
2014	Summary	Commodity	42	Wholesale trade	Methane	kg/2018 USD, purchaser price	0.001	0	0.001	3	2	1	1	1	
2014	Summary	Commodity	42	Wholesale trade	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	4	2	1	3	1	
2014	Summary	Commodity	42	Wholesale trade	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.003	0	0.003	4	2	1	4	1	
2014	Summary	Commodity	441	Vehicles and parts sales	Carbon dioxide	kg/2018 USD, purchaser price	0.133	0	0.133	3	2	1	3	1	
2014	Summary	Commodity	441	Vehicles and parts sales	Methane	kg/2018 USD, purchaser price	0.001	0	0.001	3	2	1	1	1	
2014	Summary	Commodity	441	Vehicles and parts sales	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	4	2	1	3	1	
2014	Summary	Commodity	441	Vehicles and parts sales	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.002	0	0.002	4	2	1	4	1	
2014	Summary	Commodity	445	Food and beverage stores	Carbon dioxide	kg/2018 USD, purchaser price	0.23	0	0.23	2	2	1	2	1	
2014	Summary	Commodity	445	Food and beverage stores	Methane	kg/2018 USD, purchaser price	0.001	0	0.001	4	2	1	1	1	
2014	Summary	Commodity	445	Food and beverage stores	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	4	2	1	4	1	
2014	Summary	Commodity	445	Food and beverage stores	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.003	0	0.003	4	2	1	4	1	
2014	Summary	Commodity	452	General merchandise stores	Carbon dioxide	kg/2018 USD, purchaser price	0.186	0	0.186	2	2	1	2	1	
2014	Summary	Commodity	452	General merchandise stores	Methane	kg/2018 USD, purchaser price	0.001	0	0.001	3	2	1	1	1	
2014	Summary	Commodity	452	General merchandise stores	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	4	2	1	3	1	
2014	Summary	Commodity	452	General merchandise stores	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.003	0	0.003	4	2	1	4	1	
2014	Summary	Commodity	481	Air transport	Carbon dioxide	kg/2018 USD, purchaser price	0.86	0	0.86	4	2	1	1	1	
2014	Summary	Commodity	481	Air transport	Methane	kg/2018 USD, purchaser price	0.003	0	0.003	4	2	1	1	1	
2014	Summary	Commodity	481	Air transport	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	4	2	1	4	1	
2014	Summary	Commodity	481	Air transport	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.002	0	0.002	4	2	1	4	1	
2014	Summary	Commodity	482	Rail transport	Carbon dioxide	kg/2018 USD, purchaser price	0.591	0	0.591	4	2	1	4	1	
2014	Summary	Commodity	482	Rail transport	Methane	kg/2018 USD, purchaser price	0.002	0	0.002	4	2	1	1	1	
2014	Summary	Commodity	482	Rail transport	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	4	2	1	4	1	
2014	Summary	Commodity	482	Rail transport	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.004	0	0.004	4	2	1	4	1	
2014	Summary	Commodity	483	Water transport (boats, ships, ferries)	Carbon dioxide	kg/2018 USD, purchaser price	0.458	0	0.458	4	2	1	3	1	
2014	Summary	Commodity	483	Water transport (boats, ships, ferries)	Methane	kg/2018 USD, purchaser price	0.002	0	0.002	4	2	1	1	1	
2014	Summary	Commodity	483	Water transport (boats, ships, ferries)	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	4	2	1	4	1	
2014	Summary	Commodity	483	Water transport (boats, ships, ferries)	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.041	0	0.041	4	2	1	5	1	
2014	Summary	Commodity	484	Truck transport	Carbon dioxide	kg/2018 USD, purchaser price	1.222	0	1.222	4	2	1	4	1	
2014	Summary	Commodity	484	Truck transport	Methane	kg/2018 USD, purchaser price	0.002	0	0.002	4	2	1	1	1	
2014	Summary	Commodity	484	Truck transport	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	4	2	1	3	1	
2014	Summary	Commodity	484	Truck transport	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.019	0	0.019	4	2	1	5	1	
2014	Summary	Commodity	485	Passenger ground transport	Carbon dioxide	kg/2018 USD, purchaser price	0.345	0	0.345	3	2	1	3	1	
2014	Summary	Commodity	485	Passenger ground transport	Methane	kg/2018 USD, purchaser price	0.002	0	0.002	4	2	1	1	1	
2014	Summary	Commodity	485	Passenger ground transport	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	4	2	1	3	1	
2014	Summary	Commodity	485	Passenger ground transport	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.007	0	0.007	4	2	1	5	1	
2014	Summary	Commodity	486	Pipeline transport	Carbon dioxide	kg/2018 USD, purchaser price	1.164	0	1.164	4	2	1	1	1	
2014	Summary	Commodity	486	Pipeline transport	Methane	kg/2018 USD, purchaser price	0.027	0	0.027	4	2	1	1	1	
2014	Summary	Commodity	486	Pipeline transport	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	3	2	1	3	1	
2014	Summary	Commodity	486	Pipeline transport	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.011	0	0.011	4	2	1	5	1	
2014	Summary	Commodity	487OS	Couriers, messengers, transportation for leisure activities	Carbon dioxide	kg/2018 USD, purchaser price	0.379	0	0.379	4	2	1	3	1	
2014	Summary	Commodity	487OS	Couriers, messengers, transportation for leisure activities	Methane	kg/2018 USD, purchaser price	0.002	0	0.002	4	2	1	2	1	
2014	Summary	Commodity	487OS	Couriers, messengers, transportation for leisure activities	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	4	2	1	4	1	
2014	Summary	Commodity	487OS	Couriers, messengers, transportation for leisure activities	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.004	0	0.004	4	2	1	4	1	
2014	Summary	Commodity	493	Warehouses	Carbon dioxide	kg/2018 USD, purchaser price	0.509	0	0.509	2	2	1	2	1	
2014	Summary	Commodity	493	Warehouses	Methane	kg/2018 USD, purchaser price	0.002	0	0.002	3	2	1	1	1	
2014	Summary	Commodity	493	Warehouses	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	3	2	1	2	1	
2014	Summary	Commodity	493	Warehouses	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.004	0	0.004	3	2	1	3	1	
2014	Summary	Commodity	4A0	Other retail	Carbon dioxide	kg/2018 USD, purchaser price	0.162	0	0.162	3	2	1	3	1	
2014	Summary	Commodity	4A0	Other retail	Methane	kg/2018 USD, purchaser price	0.001	0	0.001	3	2	1	1	1	
2014	Summary	Commodity	4A0	Other retail	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	4	2	1	3	1	
2014	Summary	Commodity	4A0	Other retail	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.003	0	0.003	4	2	1	4	1	
2014	Summary	Commodity	511	Media, literature, and software	Carbon dioxide	kg/2018 USD, purchaser price	0.052	0.014	0.066	3	2	1	3	1	
2014	Summary	Commodity	511	Media, literature, and software	Methane	kg/2018 USD, purchaser price	0	0	0	3	2	1	1	1	
2014	Summary	Commodity	511	Media, literature, and software	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	3	2	1	3	1	
2014	Summary	Commodity	511	Media, literature, and software	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.001	0	0.001	3	2	1	4	1	
2014	Summary	Commodity	512	Film and sound-based entertainment	Carbon dioxide	kg/2018 USD, purchaser price	0.059	0.003	0.061	3	2	1	3	1	
2014	Summary	Commodity	512	Film and sound-based entertainment	Methane	kg/2018 USD, purchaser price	0	0	0	3	2	1	1	1	
2014	Summary	Commodity	512	Film and sound-based entertainment	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	3	2	1	3	1	
2014	Summary	Commodity	512	Film and sound-based entertainment	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.001	0	0.001	3	2	1	4	1	
2014	Summary	Commodity	513	Radio, TV, telecommunication	Carbon dioxide	kg/2018 USD, purchaser price	0.097	0	0.097	3	2	1	3	1	
2014	Summary	Commodity	513	Radio, TV, telecommunication	Methane	kg/2018 USD, purchaser price	0	0	0	3	2	1	1	1	
2014	Summary	Commodity	513	Radio, TV, telecommunication	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	3	2	1	3	1	
2014	Summary	Commodity	513	Radio, TV, telecommunication	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.007	0	0.007	4	2	1	4	1	
2014	Summary	Commodity	514	Data processing, internet publishing, and other information services	Carbon dioxide	kg/2018 USD, purchaser price	0.101	0	0.101	3	2	1	3	1	
2014	Summary	Commodity	514	Data processing, internet publishing, and other information services	Methane	kg/2018 USD, purchaser price	0	0	0	4	2	1	1	1	
2014	Summary	Commodity	514	Data processing, internet publishing, and other information services	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	3	2	1	3	1	
2014	Summary	Commodity	514	Data processing, internet publishing, and other information services	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.005	0	0.005	4	2	1	4	1	
2014	Summary	Commodity	521CI	Monetary authorities, depository and nondepository credit intermediation and related activities	Carbon dioxide	kg/2018 USD, purchaser price	0.059	0	0.059	3	2	1	3	1	
2014	Summary	Commodity	521CI	Monetary authorities, depository and nondepository credit intermediation and related activities	Methane	kg/2018 USD, purchaser price	0	0	0	3	2	1	1	1	
2014	Summary	Commodity	521CI	Monetary authorities, depository and nondepository credit intermediation and related activities	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	4	2	1	3	1	
2014	Summary	Commodity	521CI	Monetary authorities, depository and nondepository credit intermediation and related activities	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.001	0	0.001	4	2	1	4	1	
2014	Summary	Commodity	523	Financial investments, exchanges, and advising	Carbon dioxide	kg/2018 USD, purchaser price	0.103	0	0.103	3	2	1	3	1	
2014	Summary	Commodity	523	Financial investments, exchanges, and advising	Methane	kg/2018 USD, purchaser price	0	0	0	4	2	1	1	1	
2014	Summary	Commodity	523	Financial investments, exchanges, and advising	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	3	2	1	3	1	
2014	Summary	Commodity	523	Financial investments, exchanges, and advising	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.002	0	0.002	4	2	1	4	1	
2014	Summary	Commodity	524	Insurance agencies, carriers, and brokerages	Carbon dioxide	kg/2018 USD, purchaser price	0.045	0	0.045	3	2	1	3	1	
2014	Summary	Commodity	524	Insurance agencies, carriers, and brokerages	Methane	kg/2018 USD, purchaser price	0	0	0	3	2	1	1	1	
2014	Summary	Commodity	524	Insurance agencies, carriers, and brokerages	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	4	2	1	3	1	
2014	Summary	Commodity	524	Insurance agencies, carriers, and brokerages	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.001	0	0.001	4	2	1	4	1	
